Name,Pos,Team,Home?,Date,Time,Opp,Pitcher,AB,H,XBH,HR,RBI,BB,K,AVG,OBP,SLG,OPS
Tony Kemp,2B,OAK,Yes,2/21,3:05 PM,SEA,Marco Gonzales,11,4,0,0,1,2,2,.364,.500,.364,.864
Matt Chapman,3B,OAK,Yes,2/21,3:05 PM,SEA,Marco Gonzales,33,13,6,1,4,0,4,.394,.394,.667,1.061
Matt Olson,1B,OAK,Yes,2/21,3:05 PM,SEA,Marco Gonzales,39,11,6,6,8,0,9,.282,.317,.744,1.061
Tony Kemp,2B,OAK,No,2/22,3:10 PM,SEA,Mike Leake,11,5,3,0,1,0,3,.455,.455,.727,1.182
Matt Chapman,3B,OAK,No,2/22,3:10 PM,SEA,Mike Leake,25,7,6,3,4,1,4,.280,.308,.760,1.068
Nick Castellanos,OF,CIN,Yes,2/23,3:05 PM,CLE,Adam Plutko,10,4,1,0,0,1,2,.400,.455,.500,.955
Amed Rosario,SS,CLE,No,2/23,3:05 PM,CIN,Tanner Roark,15,4,2,1,2,0,2,.267,.267,.600,.867
Jurickson Profar,2B,SD,No,2/23,3:10 PM,SEA,Felix Hernandez,20,6,2,1,5,3,3,.300,.391,.500,.891
Michael Brantley,OF,HOU,No,2/23,6:35 PM,WAS,Max Scherzer,47,17,11,2,10,3,1,.362,.385,.702,1.087
Bryce Harper,OF,PHI,No,2/24,1:05 PM,DET,Tyson Ross,13,4,1,1,3,3,4,.308,.438,.538,.976
Jean Segura,2B,PHI,No,2/24,1:05 PM,DET,Tyson Ross,14,6,3,2,6,0,1,.429,.429,.929,1.357
Adam Duvall,OF,ATL,Yes,2/25,1:05 PM,WAS,Patrick Corbin,30,9,6,2,7,1,10,.300,.313,.633,.946
Ozzie Albies,2B,ATL,Yes,2/25,1:05 PM,WAS,Patrick Corbin,25,10,6,3,9,1,6,.400,.423,.920,1.343
Johan Camargo,2B,ATL,Yes,2/25,1:05 PM,WAS,Patrick Corbin,13,5,3,1,1,1,4,.385,.429,.769,1.198
Cedric Mullins,OF,BAL,No,2/25,1:05 PM,MIN,Jose Berrios,10,4,2,0,2,0,1,.400,.400,.600,1.000
Trey Mancini,1B,BAL,No,2/25,1:05 PM,MIN,Jose Berrios,18,6,3,0,0,2,2,.333,.400,.500,.900
Francisco Lindor,SS,NYM,No,2/25,1:05 PM,HOU,Justin Verlander,32,10,3,1,7,4,4,.313,.389,.500,.889
Aaron Judge,OF,NYY,Yes,2/25,1:05 PM,TOR,Marcus Stroman,21,10,4,4,6,4,4,.476,.560,1.048,1.608
Andrew McCutchen,OF,PHI,Yes,2/25,1:05 PM,DET,Jordan Zimmermann,11,3,2,2,2,1,2,.273,.333,.818,1.152
Jean Segura,2B,PHI,Yes,2/25,1:05 PM,DET,Jordan Zimmermann,19,9,3,1,2,1,3,.474,.500,.789,1.289
Didi Gregorius,SS,PHI,Yes,2/25,1:05 PM,DET,Jordan Zimmermann,16,6,2,2,4,0,0,.375,.375,.750,1.125
Paul Goldschmidt,1B,STL,Yes,2/25,1:05 PM,DET,Jordan Zimmermann,14,5,2,0,2,0,3,.357,.357,.500,.857
Nolan Arenado,3B,STL,Yes,2/25,1:05 PM,DET,Jordan Zimmermann,14,7,4,1,3,1,2,.500,.533,.929,1.462
George Springer,OF,TOR,No,2/25,1:05 PM,NYY,James Paxton,33,8,4,3,4,2,9,.242,.278,.545,.823
Marcus Semien,SS,TOR,No,2/25,1:05 PM,NYY,James Paxton,16,4,4,2,4,1,5,.250,.294,.750,1.044
Randal Grichuk,OF,TOR,No,2/25,1:05 PM,NYY,James Paxton,12,4,1,1,2,1,1,.333,.385,.583,.968
Lourdes Gurriel,OF,TOR,No,2/25,1:05 PM,NYY,James Paxton,13,4,4,2,4,1,4,.308,.400,.923,1.323
Juan Soto,OF,WAS,No,2/25,1:05 PM,ATL,Max Fried,16,5,1,0,2,5,7,.313,.476,.375,.851
Yadiel Hernandez,OF,WAS,No,2/25,1:05 PM,ATL,Max Fried,10,4,1,0,1,0,3,.400,.400,.500,.900
Oscar Mercado,OF,CLE,Yes,2/25,3:05 PM,TEX,Mike Minor,10,4,1,0,1,1,2,.400,.455,.500,.955
AJ Pollock,OF,LAD,Yes,2/25,3:05 PM,CHC,Jon Lester,20,7,3,1,1,0,2,.350,.350,.650,1.000
AJ Pollock,OF,LAD,Yes,2/25,3:05 PM,CHC,Christian Bergman,10,6,2,0,1,1,0,.600,.636,.800,1.436
Corey Seager,SS,LAD,Yes,2/25,3:05 PM,CHC,Jon Lester,11,4,1,0,1,1,3,.364,.417,.455,.871
Cody Bellinger,1B,LAD,Yes,2/25,3:05 PM,CHC,Jon Lester,10,6,3,2,6,0,2,.600,.600,1.300,1.900
Trea Turner,SS,LAD,Yes,2/25,3:05 PM,CHC,Jon Lester,10,4,0,0,2,1,1,.400,.417,.400,.817
Eric Hosmer,1B,SD,No,2/25,3:05 PM,CHC,Jon Lester,22,8,2,1,3,3,4,.364,.462,.591,1.052
Manny Machado,3B,SD,No,2/25,3:05 PM,CHC,Jon Lester,15,5,3,1,5,3,1,.333,.444,.667,1.111
Kole Calhoun,OF,ARI,Yes,2/25,3:10 PM,OAK,Frankie Montas,15,6,4,2,2,1,1,.400,.438,.933,1.371
Chad Pinder,2B,OAK,No,2/25,3:10 PM,ARI,Zack Greinke,15,6,1,0,0,1,2,.400,.438,.467,.904
Khris Davis,DH,OAK,No,2/25,3:10 PM,ARI,Zack Greinke,13,5,4,2,5,1,3,.385,.400,1.000,1.400
Freddie Freeman,1B,ATL,Yes,2/26,1:05 PM,NYM,Zack Wheeler,48,21,6,2,8,15,11,.438,.563,.646,1.208
Javier Baez,SS,NYM,No,2/26,1:05 PM,ATL,Sean Newcomb,11,5,1,1,2,0,2,.455,.455,.727,1.182
Nolan Arenado,3B,STL,No,2/26,1:05 PM,WAS,Anibal Sanchez,10,4,0,0,4,1,3,.400,.417,.400,.817
Josh Bell,1B,WAS,Yes,2/26,1:05 PM,STL,Adam Wainwright,25,8,3,2,6,4,6,.320,.419,.600,1.019
Ryan Zimmerman,1B,WAS,Yes,2/26,1:05 PM,STL,Adam Wainwright,37,13,8,3,5,1,6,.351,.368,.730,1.098
Francisco Lindor,SS,NYM,Yes,2/26,1:10 PM,DET,Matthew Boyd,33,12,5,2,3,3,3,.364,.417,.636,1.053
Kevin Pillar,OF,NYM,Yes,2/26,1:10 PM,DET,Matthew Boyd,14,4,2,1,1,0,1,.286,.286,.571,.857
Christian Walker,1B,ARI,No,2/26,3:05 PM,CHC,Yu Darvish,15,5,2,1,2,1,4,.333,.375,.600,.975
Kole Calhoun,OF,ARI,No,2/26,3:05 PM,CHC,Yu Darvish,22,8,2,2,3,3,3,.364,.440,.636,1.076
Pavin Smith,1B,ARI,No,2/26,3:05 PM,CHC,Yu Darvish,12,4,4,0,3,0,4,.333,.333,.667,1.000
Ketel Marte,2B,ARI,No,2/26,3:05 PM,CHC,Yu Darvish,16,7,2,1,1,1,4,.438,.471,.688,1.158
David Peralta,OF,ARI,No,2/26,3:05 PM,CHC,Yu Darvish,20,9,3,3,5,2,4,.450,.500,.900,1.400
Yasmani Grandal,C,CWS,Yes,2/26,3:05 PM,KC,Ian Kennedy,15,5,3,2,3,1,5,.333,.375,.800,1.175
Jose Abreu,1B,CWS,Yes,2/26,3:05 PM,KC,Ian Kennedy,27,10,3,3,6,2,5,.370,.414,.704,1.117
Tim Anderson,SS,CWS,Yes,2/26,3:05 PM,KC,Ian Kennedy,23,9,4,0,2,3,9,.391,.462,.565,1.027
David Fletcher,2B,LAA,No,2/26,3:05 PM,OAK,Mike Fiers,17,8,1,0,0,1,0,.471,.500,.529,1.029
Shohei Ohtani,DH,LAA,No,2/26,3:05 PM,OAK,Mike Fiers,12,7,2,0,1,1,1,.583,.615,.750,1.365
Albert Pujols,1B,LAD,No,2/26,3:05 PM,KC,Ian Kennedy,23,6,5,3,6,2,2,.261,.308,.739,1.047
Mark Canha,OF,OAK,Yes,2/26,3:05 PM,LAA,Andrew Heaney,18,5,3,1,3,3,6,.278,.435,.556,.990
Adam Frazier,2B,SD,No,2/26,3:05 PM,MIL,Zach Davies,29,10,4,0,2,1,1,.345,.367,.517,.884
Jose Trevino,C,TEX,No,2/26,3:10 PM,SEA,Marco Gonzales,12,5,4,0,2,1,2,.417,.462,.750,1.212
Nick Solak,2B,TEX,No,2/26,3:10 PM,SEA,Marco Gonzales,10,4,1,0,3,0,1,.400,.455,.500,.955
Charlie Culberson,OF,TEX,No,2/26,3:10 PM,SEA,Marco Gonzales,11,6,2,1,1,1,1,.545,.583,1.000,1.583
Pedro Severino,C,BAL,No,2/27,1:05 PM,BOS,Eduardo Rodriguez,15,5,2,1,1,0,3,.333,.333,.600,.933
Trey Mancini,1B,BAL,No,2/27,1:05 PM,BOS,Eduardo Rodriguez,39,12,5,2,4,3,12,.308,.357,.538,.896
Michael Brantley,OF,HOU,No,2/27,1:05 PM,WAS,Jeremy Hellickson,11,5,2,1,1,1,0,.455,.500,.909,1.409
Mike Zunino,C,TB,Yes,2/27,1:05 PM,BOS,Eduardo Rodriguez,11,4,3,1,3,2,4,.364,.462,.909,1.371
Yandy Diaz,3B,TB,Yes,2/27,1:05 PM,BOS,Eduardo Rodriguez,17,7,1,0,0,2,4,.412,.474,.471,.944
Brandon Lowe,2B,TB,Yes,2/27,1:05 PM,BOS,Eduardo Rodriguez,13,4,3,3,4,0,7,.308,.308,1.000,1.308
Nick Castellanos,OF,CIN,No,2/27,3:05 PM,CWS,Reynaldo Lopez,32,11,6,0,3,0,5,.344,.344,.531,.875
Jose Ramirez,3B,CLE,Yes,2/27,3:05 PM,SEA,Mike Leake,16,5,2,1,1,1,1,.313,.353,.563,.915
Yasmani Grandal,C,CWS,Yes,2/27,3:05 PM,CIN,Tanner Roark,15,5,1,1,4,2,2,.333,.450,.533,.983
Charlie Blackmon,OF,COL,Yes,2/27,3:10 PM,LAA,Trevor Cahill,16,7,3,0,0,0,2,.438,.471,.688,1.158
Ketel Marte,2B,ARI,No,2/27,8:40 PM,SD,Joey Lucchesi,16,7,3,1,2,3,2,.438,.500,.750,1.250
Joc Pederson,OF,ATL,Yes,2/28,1:05 PM,DET,Matt Moore,14,3,2,1,1,4,5,.214,.389,.500,.889
Danny Santana,1B,BOS,Yes,2/28,1:05 PM,WAS,Max Scherzer,12,5,2,0,2,0,3,.417,.417,.583,1.000
J.D. Martinez,DH,BOS,Yes,2/28,1:05 PM,WAS,Max Scherzer,10,2,2,2,4,0,5,.200,.200,.800,1.000
Brad Miller,3B,PHI,Yes,2/28,1:05 PM,BAL,Dylan Bundy,14,4,2,1,1,0,4,.286,.286,.571,.857
Yadier Molina,C,STL,Yes,2/28,1:05 PM,NYM,Jason Vargas,15,5,2,1,5,1,0,.333,.353,.600,.953
Paul Goldschmidt,1B,STL,Yes,2/28,1:05 PM,NYM,Jason Vargas,10,3,2,2,3,1,3,.300,.364,.900,1.264
Nick Castellanos,OF,CIN,Yes,2/28,3:05 PM,MIL,Freddy Peralta,13,7,5,1,5,1,2,.538,.571,1.077,1.648
Tucker Barnhart,C,CIN,Yes,2/28,3:05 PM,MIL,Freddy Peralta,17,5,3,1,2,2,1,.294,.368,.588,.957
Joey Votto,1B,CIN,Yes,2/28,3:05 PM,MIL,Freddy Peralta,13,4,2,1,2,3,4,.308,.438,.615,1.053
Trea Turner,SS,LAD,Yes,2/28,3:05 PM,COL,Chad Bettis,10,4,1,1,1,0,1,.400,.400,.700,1.100
AJ Pollock,OF,LAD,Yes,2/28,3:05 PM,COL,Chad Bettis,11,3,2,1,5,0,2,.273,.273,.636,.909
Chris Taylor,2B,LAD,Yes,2/28,3:05 PM,COL,Chad Bettis,14,5,3,1,5,2,4,.357,.471,.714,1.185
Josh Harrison,2B,OAK,No,2/28,3:05 PM,CHC,Kyle Hendricks,24,11,4,3,3,1,1,.458,.480,.875,1.355